timestamp,A,B,C,Yaw
3,0,,,
39,,0,,
75,,,0,
111,,,,0
147,0,,,
183,,0,,
219,,,0,
255,,,,0
291,0,,,
327,,0,,
363,,,0,
399,,,,0
435,0,,,
471,,0,,
507,,,0,
543,,,,0
579,0,,,
615,,0,,
651,,,0,
687,,,,0
723,0,,,
759,,0,,
795,,,0,
831,,,,0
867,0,,,
903,,0,,
939,,,0,
976,,,,0
1012,0,,,
1048,,0,,
1084,,,0,
1120,,,,0
1156,14,,,
1192,,26,,
1228,,,0,
1264,,,,0
1300,60,,,
1336,,76,,
1372,,,0,
1408,,,,0
1444,109,,,
1480,,121,,
1516,,,0,
1552,,,,-1
1588,143,,,
1624,,154,,
1660,,,0,
1696,,,,-1
1732,176,,,
1768,,189,,
1804,,,0,
1840,,,,-1
1876,219,,,
1912,,236,,
1948,,,0,
1984,,,,-2
2020,260,,,
2056,,275,,
2092,,,0,
2128,,,,-2
2164,299,,,
2200,,312,,
2236,,,0,
2272,,,,-2
2308,335,,,
2344,,351,,
2380,,,0,
2416,,,,-3
2452,374,,,
2488,,390,,
2524,,,0,
2560,,,,-3
2596,412,,,
2632,,429,,
2668,,,0,
2704,,,,-3
2740,452,,,
2776,,470,,
2812,,,0,
2848,,,,-4
2884,492,,,
2920,,508,,
2956,,,0,
2992,,,,-4
3028,529,,,
3064,,546,,
3100,,,0,
3136,,,,-4
3172,567,,,
3208,,585,,
3244,,,0,
3280,,,,-5
3316,606,,,
3352,,624,,
3388,,,0,
3424,,,,-5
3460,648,,,
3496,,664,,
3533,,,0,
3569,,,,-6
3605,686,,,
3641,,702,,
3677,,,0,
3713,,,,-6
3749,725,,,
3785,,742,,
3821,,,0,
3857,,,,-7
3893,762,,,
3929,,781,,
3965,,,0,
4001,,,,-7
4037,801,,,
4073,,819,,
4109,,,0,
4145,,,,-7
4181,842,,,
4217,,857,,
4253,,,0,
4289,,,,-8
4325,883,,,
4361,,896,,
4397,,,0,
4433,,,,-9
4469,920,,,
4505,,935,,
4541,,,0,
4577,,,,-9
4613,957,,,
4649,,975,,
4685,,,0,
4721,,,,-9
4757,998,,,
4793,,1013,,
4829,,,0,
4865,,,,-10
4901,1036,,,
4937,,1052,,
4973,,,0,
5009,,,,-11
5045,1072,,,
5081,,1084,,
5117,,,-1,
5153,,,,-11
5189,1081,,,
5226,,1082,,
5262,,,-1,
5298,,,,-11
5334,1077,,,
5370,,1079,,
5406,,,0,
5442,,,,-11
5478,1078,,,
5514,,1082,,
5550,,,0,
5586,,,,-11
5622,1077,,,
5658,,1081,,
5694,,,0,
5730,,,,-11
5766,1077,,,
5802,,1081,,
5838,,,0,
5874,,,,-11
5910,1077,,,
5946,,1082,,
5983,,,0,
6019,,,,-11
6055,1077,,,
6091,,1081,,
6127,,,0,
6163,,,,-11
6199,1077,,,
6236,,1081,,
6272,,,0,
6308,,,,-11
6344,1077,,,
6380,,1081,,
6416,,,0,
6453,,,,-11
6489,1077,,,
6525,,1081,,
6561,,,0,
6597,,,,-11
6633,1077,,,
6669,,1081,,
6706,,,0,
6742,,,,-11
6778,1077,,,
6814,,1081,,
6850,,,0,
6886,,,,-11
6922,1077,,,
6958,,1081,,
6994,,,0,
7030,,,,-11
7066,1077,,,
7102,,1081,,
7138,,,0,
7174,,,,-11
7210,1077,,,
7246,,1083,,
7282,,,14,
7318,,,,-12
7354,1077,,,
7390,,1084,,
7426,,,16,
7462,,,,-12
7498,1077,,,
7534,,1084,,
7570,,,16,
7606,,,,-12
7642,1077,,,
7678,,1083,,
7714,,,16,
7750,,,,-12
7786,1077,,,
7822,,1084,,
7858,,,16,
7894,,,,-12
7930,1077,,,
7967,,1083,,
8003,,,15,
8039,,,,-12
8075,1077,,,
8111,,1083,,
8147,,,16,
8183,,,,-12
8219,1077,,,
8256,,1083,,
8292,,,16,
8328,,,,-12
8364,1077,,,
8400,,1083,,
8436,,,16,
8472,,,,-13
8508,1068,,,
8544,,1073,,
8580,,,16,
8616,,,,-16
8652,1025,,,
8688,,1031,,
8724,,,16,
8760,,,,-19
8796,973,,,
8832,,988,,
8868,,,15,
8904,,,,-20
8940,938,,,
8976,,954,,
9012,,,15,
9048,,,,-22
9084,900,,,
9120,,914,,
9156,,,15,
9192,,,,-25
9228,862,,,
9264,,872,,
9300,,,15,
9336,,,,-27
9372,822,,,
9408,,828,,
9444,,,15,
9480,,,,-30
9516,786,,,
9552,,792,,
9588,,,15,
9624,,,,-32
9660,747,,,
9696,,755,,
9732,,,15,
9768,,,,-35
9804,706,,,
9840,,714,,
9876,,,15,
9912,,,,-37
9948,667,,,
9984,,676,,
10020,,,15,
10056,,,,-39
10092,627,,,
10128,,637,,
10164,,,15,
10200,,,,-41
10236,588,,,
10272,,598,,
10308,,,15,
10344,,,,-43
10380,552,,,
10416,,558,,
10452,,,15,
10488,,,,-46
10524,514,,,
10560,,518,,
10596,,,15,
10632,,,,-48
10668,473,,,
10704,,472,,
10740,,,15,
10776,,,,-50
10812,437,,,
10848,,439,,
10884,,,15,
10920,,,,-53
10956,400,,,
10992,,402,,
11028,,,15,
11064,,,,-55
11100,357,,,
11136,,361,,
11172,,,15,
11208,,,,-57
11244,319,,,
11280,,325,,
11316,,,15,
11352,,,,-60
11388,279,,,
11424,,284,,
11460,,,15,
11496,,,,-62
11532,241,,,
11568,,246,,
11604,,,16,
11640,,,,-64
11676,204,,,
11712,,208,,
11748,,,15,
11784,,,,-66
11820,166,,,
11856,,166,,
11892,,,15,
11928,,,,-69
11964,125,,,
12000,,122,,
12036,,,15,
12072,,,,-72
12108,88,,,
12144,,85,,
12180,,,15,
12216,,,,-74
12252,48,,,
12288,,49,,
12324,,,15,
12360,,,,-76
12396,10,,,
12432,,10,,
12468,,,15,
12504,,,,-77
12540,5,,,
12576,,2,,
12612,,,15,
12648,,,,-77
12684,3,,,
12720,,2,,
12756,,,15,
12792,,,,-77
12828,3,,,
12864,,3,,
12900,,,15,
12936,,,,-77
12972,3,,,
13008,,2,,
13044,,,15,
13080,,,,-77
13116,3,,,
13152,,3,,
13188,,,15,
13224,,,,-77
13260,3,,,
13296,,2,,
13332,,,15,
13368,,,,-77
13404,3,,,
13440,,2,,
13476,,,15,
13512,,,,-77
13548,3,,,
13584,,3,,
13620,,,15,
13656,,,,-77
13692,3,,,
13728,,2,,
13764,,,15,
13800,,,,-77
13836,3,,,
13872,,3,,
13908,,,15,
13944,,,,-77
13980,3,,,
14017,,3,,
14053,,,15,
14089,,,,-77
14125,3,,,
14161,,2,,
14198,,,15,
14234,,,,-77
14270,3,,,
14307,,3,,
14343,,,15,
14379,,,,-77
14415,3,,,
14451,,2,,
14487,,,15,
14523,,,,-77
14559,3,,,
14595,,3,,
14631,,,12,
14667,,,,-75
14703,3,,,
14739,,0,,
14775,,,3,
14811,,,,-75
14847,3,,,
14884,,1,,
14920,,,2,
14956,,,,-75
14992,3,,,
15028,,1,,
15064,,,2,
15100,,,,-75
15136,3,,,
15172,,1,,
15208,,,2,
15244,,,,-75
15280,3,,,
15316,,1,,
15352,,,2,
15388,,,,-75
15424,3,,,
15460,,1,,
15496,,,2,
15532,,,,-75
15568,2,,,
15604,,1,,
15640,,,2,
15676,,,,-75
15712,2,,,
15748,,1,,
15784,,,2,
15820,,,,-75
15856,2,,,
15892,,9,,
15928,,,3,
15964,,,,-75
16000,27,,,
16036,,48,,
16072,,,3,
16108,,,,-75
16144,81,,,
16180,,99,,
16216,,,3,
16252,,,,-75
16288,123,,,
16324,,137,,
16360,,,3,
16396,,,,-74
16432,155,,,
16468,,168,,
16504,,,3,
16540,,,,-73
